ID,Economic_Activity,Year,Value,Percentage_Contribution,Growth_Rate
1,"Agriculture, forestry and fishing",2006,405.76,0.17,3.4
2,Mining and quarrying,2006,6886.74,2.81,0
3,Manufacturing,2006,27325.3,11.14,0
4,"Electricity, gas, and water supply- waste management activities",2006,2362.23,0.96,7.4
5,"Water supply- sewerage, waste management and remediation activities",2006,73,0.03,3.44
6,Construction,2006,27048.65,11.03,0
7,Wholesale and Retail trade,2006,71937.88,29.32,-32.6
8,Transportation and storage,2006,22016.26,8.97,0
9,Accommodation and food service activities,2006,8255.19,3.36,-5.4
10,Information and communication,2006,8049.85,3.28,0
11,Financial and insurance activities,2006,24352.14,9.93,0
12,Real estate activities,2006,18065.17,7.36,0
13,"Professional, scientific and technical activities",2006,9598.76,3.91,0
14,Administrative and support service activities,2006,6907.97,2.82,0
15,Public administration and defence- compulsory social security,2006,7362.7,3,0
16,Education,2006,1763.24,0.72,0
17,Human health and social work activities,2006,1128.14,0.46,0
18,"Arts, entertainment and recreation",2006,303.11,0.12,0
19,Other service activities,2006,507.56,0.21,0
20,Activities of households as employers,2006,1052.87,0.43,0
21,Gross Domestic Product,2006,245329.51,100,0
22,"Agriculture, forestry and fishing",2007,436.01,0.14,7.45
23,Mining and quarrying,2007,5687.69,1.8,-17.41
24,Manufacturing,2007,28564.41,9.03,4.53
25,"Electricity, gas, and water supply- waste management activities",2007,1960.94,0.62,-16.99
26,"Water supply- sewerage, waste management and remediation activities",2007,77,0,5.8
27,Construction,2007,38138.91,12.05,41
28,Wholesale and Retail trade,2007,90952.22,28.74,26.43
29,Transportation and storage,2007,29613.26,9.36,34.51
30,Accommodation and food service activities,2007,8370.23,2.65,1.39
31,Information and communication,2007,11152.15,3.52,38.54
32,Financial and insurance activities,2007,34536.55,10.91,41.82
33,Real estate activities,2007,26425.05,8.35,46.28
34,"Professional, scientific and technical activities",2007,13860.58,4.38,44.4
35,Administrative and support service activities,2007,9895.58,3.13,43.25
36,Public administration and defence- compulsory social security,2007,9893.67,3.13,34.38
37,Education,2007,2909.24,0.92,64.99
38,Human health and social work activities,2007,1689.32,0.53,49.74
39,"Arts, entertainment and recreation",2007,395.07,0.12,30.34
40,Other service activities,2007,792.35,0.25,56.11
41,Activities of households as employers,2007,1156.73,0.37,9.86
42,Gross Domestic Product,2007,316429.94,100,28.98
43,"Agriculture, forestry and fishing",2008,498.41,0.14,14.31
44,Mining and quarrying,2008,5989.13,1.71,5.3
45,Manufacturing,2008,29175.87,8.35,2.14
46,"Electricity, gas, and water supply- waste management activities",2008,3661.66,1.05,86.73
47,"Water supply- sewerage, waste management and remediation activities",2008,85,0,10.1
48,Construction,2008,45915.96,13.14,20.39
49,Wholesale and Retail trade,2008,97488.65,27.9,7.19
50,Transportation and storage,2008,34054.54,9.74,15
51,Accommodation and food service activities,2008,8835.83,2.53,5.56
52,Information and communication,2008,12222.4,3.5,9.6
53,Financial and insurance activities,2008,38437.53,11,11.3
54,Real estate activities,2008,27258.58,7.8,3.15
55,"Professional, scientific and technical activities",2008,14292.11,4.09,3.11
56,Administrative and support service activities,2008,10354.74,2.96,4.64
57,Public administration and defence- compulsory social security,2008,13326.05,3.81,34.69
58,Education,2008,3373.18,0.97,15.95
59,Human health and social work activities,2008,1932.98,0.55,14.42
60,"Arts, entertainment and recreation",2008,452.04,0.13,14.42
61,Other service activities,2008,940.68,0.27,18.72
62,Activities of households as employers,2008,1249.1,0.36,7.99
63,Gross Domestic Product,2008,349459.42,100,10.44
64,"Agriculture, forestry and fishing",2009,468.45,0.15,-6.01
65,Mining and quarrying,2009,5148.83,1.69,-14.03
66,Manufacturing,2009,26473.88,8.71,-9.26
67,"Electricity, gas, and water supply- waste management activities",2009,6962.7,2.29,90.15
68,"Water supply- sewerage, waste management and remediation activities",2009,90,0,6.2
69,Construction,2009,31435.42,10.35,-31.54
70,Wholesale and Retail trade,2009,78311.02,25.77,-19.67
71,Transportation and storage,2009,34170.17,11.25,0.34
72,Accommodation and food service activities,2009,7576.58,2.49,-14.25
73,Information and communication,2009,10976.59,3.61,-10.19
74,Financial and insurance activities,2009,36689.58,12.07,-4.55
75,Real estate activities,2009,21499.49,7.08,-21.13
76,"Professional, scientific and technical activities",2009,11260.08,3.71,-21.21
77,Administrative and support service activities,2009,8456.17,2.78,-18.34
78,Public administration and defence- compulsory social security,2009,16573.62,5.45,24.37
79,Education,2009,3161.67,1.04,-6.27
80,Human health and social work activities,2009,2009.58,0.66,3.96
81,"Arts, entertainment and recreation",2009,483.58,0.16,6.98
82,Other service activities,2009,984.6,0.32,4.67
83,Activities of households as employers,2009,1209.31,0.4,-3.19
84,Gross Domestic Product,2009,303851.32,100,-13.05
85,"Agriculture, forestry and fishing",2010,481.78,0.15,2.85
86,Mining and quarrying,2010,6335.26,2.03,23.04
87,Manufacturing,2010,27651.88,8.85,4.45
88,"Electricity, gas, and water supply- waste management activities",2010,6922.7,2.22,-0.57
89,"Water supply- sewerage, waste management and remediation activities",2010,90,0,-0.4
90,Construction,2010,29336.73,9.39,-6.68
91,Wholesale and Retail trade,2010,85830.14,27.48,9.6
92,Transportation and storage,2010,35379.17,11.33,3.54
93,Accommodation and food service activities,2010,7822.52,2.5,3.25
94,Information and communication,2010,10889.57,3.49,-0.79
95,Financial and insurance activities,2010,37845.7,12.12,3.15
96,Real estate activities,2010,20051.19,6.42,-6.74
97,"Professional, scientific and technical activities",2010,10350.1,3.31,-8.08
98,Administrative and support service activities,2010,7932.37,2.54,-6.19
99,Public administration and defence- compulsory social security,2010,17525.57,5.61,5.74
100,Education,2010,3380.59,1.08,6.92
101,Human health and social work activities,2010,1801.5,0.58,-10.35
102,"Arts, entertainment and recreation",2010,391.75,0.13,-18.99
103,Other service activities,2010,912.57,0.29,-7.32
104,Activities of households as employers,2010,1445.94,0.46,19.57
105,Gross Domestic Product,2010,312287.04,100,2.78
106,"Agriculture, forestry and fishing",2011,482.23,0.15,0.09
107,Mining and quarrying,2011,7126.56,2.22,12.49
108,Manufacturing,2011,28533.14,8.87,3.19
109,"Electricity, gas, and water supply- waste management activities",2011,8787.26,2.73,26.93
110,"Water supply- sewerage, waste management and remediation activities",2011,92,0,3.2
111,Construction,2011,27016.62,8.4,-7.91
112,Wholesale and Retail trade,2011,89382.72,27.78,4.14
113,Transportation and storage,2011,37444.84,11.64,5.84
114,Accommodation and food service activities,2011,10040.45,3.12,28.35
115,Information and communication,2011,11038.76,3.43,1.37
116,Financial and insurance activities,2011,38974.97,12.11,2.98
117,Real estate activities,2011,19104.66,5.94,-4.72
118,"Professional, scientific and technical activities",2011,9772.03,3.04,-5.59
119,Administrative and support service activities,2011,7640.81,2.37,-3.68
